ID,SMILES,Kd,IC50,pERK_IC50,group,group_big,FDA
G12D_1,FC1=C(C2=C(C(C#C)=C(F)C=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@]56N(C[C@H](F)C6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.001,0.002,G12D_3_left,G12D,MRTX1133_G12D
G12D_5A,FC1=C(C2=C(C(Cl)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6C[C@H](CC#N)NCC6,,110,,G12D_0_initial,G12D,not
G12D_5B,FC1=C(C2=C(C(Cl)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CCNCC6,3.5,,,G12D_0_initial,G12D,not
G12D_6,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CCNCC6,0.19,0.98,,G12D_1_top,G12D,not
G12D_7,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CCNCCC6,0.42,2.6,,G12D_1_top,G12D,not
G12D_8,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CCN(C)CC6,8.7,54,,G12D_1_top,G12D,not
G12D_9,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CCOCC6,1.5,12,,G12D_1_top,G12D,not
G12D_10,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CC(C)NCC6,0.38,2.1,,G12D_1_top,G12D,not
G12D_11,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6C(C)CNCC6,0.28,1.5,,G12D_1_top,G12D,not
G12D_12,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CC7NCC6C7,0.096,0.65,,G12D_1_top,G12D,not
G12D_13,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CC7NCC6CC7,0.009,0.068,,G12D_1_top,G12D,not
G12D_14,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CC(C7)NC7C6,0.073,0.31,,G12D_1_top,G12D,not
G12D_15,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6C[C@@H](CC7)N[C@@H]7C6,0.0008,0.005,0.53,G12D_1_top,G12D,not
G12D_16,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C([H])N=C4N5C[C@@H](CC6)N[C@@H]6C5,,2.96,>10,G12D_2_right,G12D,not
G12D_17,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCCN(C)C)N=C4N5C[C@@H](CC6)N[C@@H]6C5,,0.07,>10,G12D_2_right,G12D,not
G12D_18,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(N5CC(N(C)C)C5)N=C4N6C[C@@H](CC7)N[C@@H]7C6,,0.069,1.3,G12D_2_right,G12D,not
G12D_19,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCCC5=NC=CN5C)N=C4N6C[C@@H](CC7)N[C@@H]7C6,,0.03,3.5,G12D_2_right,G12D,not
G12D_20,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCCN5[C@@H](C6)CO[C@@H]6C5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.062,3,G12D_2_right,G12D,not
G12D_21,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.001,0.27,G12D_2_right,G12D,not
G12D_22,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC5(CCCC6)N6CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.012,0.65,G12D_2_right,G12D,not
G12D_23,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC56N(CCC6)C(CC5)=O)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.75,>10,G12D_2_right,G12D,not
G12D_24,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@@]56N(C[C@@H](F)C6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.001,0.064,G12D_2_right,G12D,not
G12D_25,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@]56N(C[C@H](F)C6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.001,0.024,G12D_2_right,G12D,not
G12D_26,FC1=C(C2=C(C([H])=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.36,>10,G12D_3_left,G12D,not
G12D_27,FC1=C(C2=C(C(F)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.012,0.38,G12D_3_left,G12D,not
G12D_28,FC1=C(C2=C(C(Cl)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.015,0.19,G12D_3_left,G12D,not
G12D_29,FC1=C(C2=C(C(C)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.045,2.5,G12D_3_left,G12D,not
G12D_30,FC1=C(C2=C(C(CC)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.006,0.2,G12D_3_left,G12D,not
G12D_31,FC1=C(C2=C(C(OC)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.086,1.2,G12D_3_left,G12D,not
G12D_32,FC1=C(C2=C(C(CO)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.079,>10,G12D_3_left,G12D,not
G12D_33,FC1=C(C2=C(C(C#C)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.003,0.071,G12D_3_left,G12D,not
G12D_34,FC1=C(C2=C(C=C(F)C=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.027,0.37,G12D_3_left,G12D,not
G12D_35,FC1=C(C2=C(C(F)=C(F)C=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.007,0.097,G12D_3_left,G12D,not
G12D_36,FC1=C(C2=C(C(C#C)=C(F)C=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.001,0.024,G12D_3_left,G12D,not
G12D_37,FC1=C(C2=C(C(Cl)=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.001,0.063,G12D_3_left,G12D,not
G12D_38,FC1=C(C2=C(C(C#C)=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,,0.001,0.014,G12D_3_left,G12D,not
G12C_1,O=C(C=C)N(CC1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=C6C(C=CC=C6)=CC(O)=C5)C4,,0.142,,G12C_1_left,G12C,not
G12C_2,O=C(C=C)N(CC1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=C(C)C=CC6=C5C=NN6)C4,,1.496,,G12C_1_left,G12C,not
G12C_3,O=C(C=C)N(CC1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=C(C=NN6)C6=CC=C5CC)C4,,1.075,,G12C_1_left,G12C,not
G12C_4,O=C(C=C)N(CC1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=C(C=NN6)C6=CC=C5C(C)C)C4,,1.184,,G12C_1_left,G12C,not
G12C_5,O=C(C=C)N(CC1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=C(C=NN6)C6=CC=C5C(F)(F)F)C4,,0.351,,G12C_1_left,G12C,not
G12C_6,O=C(C=C)N(CC1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=C(C=NN6)C6=CC(C)=C5C)C4,,0.254,,G12C_1_left,G12C,not
G12C_7,O=C(C=C)N(CC1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C=CC=C6)C4,,4.395,,G12C_2_top,G12C,not
G12C_8,O=C(C=C)N(C(CO)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C=CC=C6)C4,,4.626,,G12C_2_top,G12C,not
G12C_9,O=C(C=C)N(CC1CO)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C=CC=C6)C4,,4.531,,G12C_2_top,G12C,not
G12C_10,O=C(C=C)N(C(CCO)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C=CC=C6)C4,,6,,G12C_2_top,G12C,not
G12C_11,O=C(C=C)N(CC1CCO)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C=CC=C6)C4,,4.842,,G12C_2_top,G12C,not
G12C_12,O=C(C=C)N([C@@H](CC#N)C1)CCN1C2=NC(OCC3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C=CC=C6)C4,,0.014,,G12C_2_top,G12C,not
G12C_12a,O=C(C=C)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C=CC=C6)C4,,0.01,,G12C_2_top,G12C,not
G12C_12b,O=C(C=C)N([C@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C=CC=C6)C4,,1.015,,G12C_2_top,G12C,not
G12C_13,O=C(C=C)N(CC1CC#N)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C=CC=C6)C4,,3.319,,G12C_2_top,G12C,not
G12C_14,O=C(C=C)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C(OC)=CC=C6)C4,,0.022,,G12C_3_left2,G12C,not
G12C_15,O=C(C=C)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C(C#N)=CC=C6)C4,,0.064,,G12C_3_left2,G12C,not
G12C_16,O=C(C=C)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C(CC)=CC=C6)C4,,0.006,,G12C_3_left2,G12C,not
G12C_17,O=C(C=C)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C(C(F)(F)F)=CC=C6)C4,,0.004,,G12C_3_left2,G12C,not
G12C_18,ClC1=CC=CC2=C1C(N(C3)CCC4=C3N=C(OC[C@H]5N(C)CCC5)N=C4N6CCN(C(C=C)=O)[C@@H](CC#N)C6)=CC=C2,,0.001,,G12C_3_left2,G12C,not
G12C_19,O=C(C=C)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C(C)=CC=C6)C4,,0.001,,G12C_3_left2,G12C,not
G12C_20,O=C(C(F)=C)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C(Cl)=CC=C6)C4,,0.014,,G12C_4_top2,G12C,MRTX849_G12C
G12C_21,O=C(C(OC)=C)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C(Cl)=CC=C6)C4,,6,,G12C_4_top2,G12C,not
G12C_22,O=C(/C=C/CF)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C(Cl)=CC=C6)C4,,0.003,,G12C_4_top2,G12C,not
G12C_23,O=C(/C=C/COC)N([C@@H](CC#N)C1)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C5=CC=CC6=C5C(Cl)=CC=C6)C4,,0.009,,G12C_4_top2,G12C,not
G12C_24,ClC1=CC=CC2=CC=CC(N3CCC4=C(N(CC5)C[C@H](CC#N)N5C(C(F)=C)=O)N=C(OC[C@H]6N(CCCC#C)CCC6)N=C4C3)=C12,,0.14,,G12C_4_top2,G12C,not
